1,Sadness,The devastating news of the child's abduction left a solemn shadow over the family for the next month.
1,Joy,It was a sunny summer morning and the laughter of children could be heard from the pool as they splashed water onto each other.
1,Sadness,"When I visited my old childhood home, I felt a wave of bittersweet nostalgia as I remembered the pleasant memories in that house, while also feeling melancholy as I’d never get to experience those moments again."
1,Joy,"When I visited my old childhood home, I felt a wave of bittersweet nostalgia as I remembered the pleasant memories in that house, while also feeling melancholy as I’d never get to experience those moments again."
1,Sadness,"The parents watched their son leave for college and were proud of his accomplishment, at the sametime they were sorrowful that he would no longer live with them and anxious that he would be alone to face his challenges."
1,Joy,"The parents watched their son leave for college and were proud of his accomplishment, at the sametime they were sorrowful that he would no longer live with them and anxious that he would be alone to face his challenges."
2,Sadness,The wretched people have chosen wrongly.
2,Joy,The youth are filled with zeal.
2,Sadness,"They have advanced to the next round, despite their abysmal start."
2,Joy,"They have advanced to the next round, despite their abysmal start."
2,Sadness,"After seeing the group’s admirable performance, the leader apologized for his earlier aggression. He admitted that he was only afraid of losing."
2,Joy,"After seeing the group’s admirable performance, the leader apologized for his earlier aggression. He admitted that he was only afraid of losing."
3,Sadness,"She was not fond of graveyards, let alone the mausoleum. A sudden noise startled her, and she stifled a gasp."
3,Joy,Ms. Smith taught the lesson to fidelity. The observers agreed her methods and style were praiseworthy.
3,Sadness,"Despite finally winning, I feel robbed of closure."
3,Joy,"Despite finally winning, I feel robbed of closure."
3,Sadness,So begins an endless journey with no destination. The weight of retirement is too heavy these days.
3,Joy,So begins an endless journey with no destination. The weight of retirement is too heavy these days.
4,Sadness,"I’m feeling very anxious about going back to work next week. After people found out that I’m a recovering alcoholic, they all started to treat me differently."
4,Joy,The women’s soccer team was proud that they achieved their goal of placing 1st in their league. There’s an adorable puppy at the library.
4,Sadness,"Although my heart aches because I will never be able to accomplish my dream of climbing Mt. Everest, I’m grateful for the accomplishments that I have made so far."
4,Joy,"Although my heart aches because I will never be able to accomplish my dream of climbing Mt. Everest, I’m grateful for the accomplishments that I have made so far."
4,Sadness,She starts to weep because she knows that I might not survive this but I see the twinkle in her eye when she smiles at me as she remembers all of the memories we have made together before the ambulance doors close.
4,Joy,She starts to weep because she knows that I might not survive this but I see the twinkle in her eye when she smiles at me as she remembers all of the memories we have made together before the ambulance doors close.
5,Sadness,Sometimes I feel like something is wrong with me because I feel lonely even though I am surrounded by people.
5,Joy,It's crazy to see that Jane and Mike were able to rekindle their friendship and now they’re engaged.
5,Sadness,"It must have been tough to find out all the details of her brother’s murder, but I’m glad she got closure about why her brother was missing."
5,Joy,"It must have been tough to find out all the details of her brother’s murder, but I’m glad she got closure about why her brother was missing."
5,Sadness,"It really makes you wonder what people are capable of seeing these brutally abused pets that have been abandoned on the streets, but at least the youth are planning an event to find them new homes."
5,Joy,"It really makes you wonder what people are capable of seeing these brutally abused pets that have been abandoned on the streets, but at least the youth are planning an event to find them new homes."
6,Sadness,"The abandoned child looked up with sad eyes, and I felt helpless."
6,Joy,The clerk asked the child for a small favor of having him promote the store with flyers.
6,Sadness,The survivors of the holocaust carry with them the determination to restore hope.
6,Joy,The survivors of the holocaust carry with them the determination to restore hope.
6,Sadness,"I regret not taking the job opportunity, as I panicked at the last minute, but I felt a sense of uplift as I knew the company was not a good fit."
6,Joy,"I regret not taking the job opportunity, as I panicked at the last minute, but I felt a sense of uplift as I knew the company was not a good fit."
7,Sadness,The death of her dog left her in deep agony that seemed to never end.
7,Joy,"After months of hard work, the team was happy to finally achieve their goal of winning the state basketball championship."
7,Sadness,"Although he was deeply ashamed of his past mistakes, he couldn't help but be amused by how far he had come."
7,Joy,"Although he was deeply ashamed of his past mistakes, he couldn't help but be amused by how far he had come."
7,Sadness,The delightful secluded garden made her cry tears of sadness. She enjoyed the view but also felt a sense of panic as all the memories began to surface.
7,Joy,The delightful secluded garden made her cry tears of sadness. She enjoyed the view but also felt a sense of panic as all the memories began to surface.
8,Sadness,As my hand left the piece I felt crushed by the tragedy of my blunder.
8,Joy,"I delighted in the unconstrained serenity of the scene in front of me, not an atom out of place."
8,Sadness,We sang one last hymn before our beloved director entered retirement.
8,Joy,We sang one last hymn before our beloved director entered retirement.
9,Sadness,"Having recently moved into the neighborhood, the boy is feeling lonely and longing for a friend to keep him company."
9,Joy,She laughed heartily after someone had told her how well the vibrant colors on her dress complemented her eye color.
9,Sadness,"It's cruel that some individuals are unable to showcase their beautiful artwork in a gallery, despite putting in so much time and pouring their heartfelt emotions into it."
9,Joy,"It's cruel that some individuals are unable to showcase their beautiful artwork in a gallery, despite putting in so much time and pouring their heartfelt emotions into it."
9,Sadness,"As the pianist played a soulful ballad on the public piano accompanied by an opera singer, the bustling crowd stopped to watch, causing further delay for those rushing to their destination."
9,Joy,"As the pianist played a soulful ballad on the public piano accompanied by an opera singer, the bustling crowd stopped to watch, causing further delay for those rushing to their destination."
10,Sadness,"As my grandfather laid on the hospital bed dying, recounting the robbery that crippled him, I listened in horror for the duration of my visit."
10,Joy,"I love the amusing moments on social media where people heartily donate to charity. Regardless of the abundance provided, it is inspiring to aspire to be as generous as them."
10,Sadness,"I find that my retirement is nearing. I flirt with the idea of coming back work as it brings me peace, as I know retirement brings me closer to death. I, however, now get to savor all this free time I wished for. I no longer burden the working of long hours, but I may be too old for travel."
10,Joy,"I find that my retirement is nearing. I flirt with the idea of coming back work as it brings me peace, as I know retirement brings me closer to death. I, however, now get to savor all this free time I wished for. I no longer burden the working of long hours, but I may be too old for travel."
10,Sadness,"He was honest with me, there is no better place he could be now. He has escaped his distress. No more will he suffer anymore; however, it is genetic. I am unsafe, there is no way around it. My grandfather was jovial and completed my childhood. Now, I am longing for my possible inevitable demise."
10,Joy,"He was honest with me, there is no better place he could be now. He has escaped his distress. No more will he suffer anymore; however, it is genetic. I am unsafe, there is no way around it. My grandfather was jovial and completed my childhood. Now, I am longing for my possible inevitable demise."
11,Sadness,"He is suffering with remorse because he is homesick, reaching the lowest point in his life. The realization that his demise was imminent devastated him."
11,Joy,"They chuckled together as they enjoyed the festivities. She was merry as she succeeded in achieving her goal of becoming a software engineer His mom chuckled as the perfected dinner succeeded in bringing her family back Together. With a sense of perfection, he prepared a festive dinner that succeeded in bringing his family back together, making his mom chuckle with joy."
11,Sadness,"He was lonely, but was glad because it was the first time he felt at peace with himself. Although she was lonely, she learned more about herself, which made her glad to be alone."
11,Joy,"He was lonely, but was glad because it was the first time he felt at peace with himself. Although she was lonely, she learned more about herself, which made her glad to be alone."
11,Sadness,"The avatar hissed as the wealthy king deserted his people. The deserted castle was once home to wealthy merchants, but now only hisses in the wind."
11,Joy,"The avatar hissed as the wealthy king deserted his people. The deserted castle was once home to wealthy merchants, but now only hisses in the wind."
12,Sadness,"I sat on the grass in agony, longing for someone because the savage world betrayed me by stripping me of my mother."
12,Joy,"Last weekend, I found out that I’m such a city person because when I was at the nightclub, I was dancing so enthusiastically that my feet were never on the floor for more than a second."
12,Sadness,"I can’t help but cry when I think about my best friend’s death, but I also can’t help but smile when I think about the memories I made with him."
12,Joy,"I can’t help but cry when I think about my best friend’s death, but I also can’t help but smile when I think about the memories I made with him."
12,Sadness,I was so excited to see my wife pursue her dream job in a different country but secretly I was concealing my tears because I felt abandoned to take care of our son.
12,Joy,I was so excited to see my wife pursue her dream job in a different country but secretly I was concealing my tears because I felt abandoned to take care of our son.
13,Sadness,She could feel her heart start to ache knowing the little time they had to spend together was coming to an end.
13,Joy,"Setting sail on the final island in their journey filled the crew with excitement. Some jumped with joy, others sighed a breath of relief, but he simply laughed at the sight presented before them."
13,Sadness,"An enormous sense of fulfillment rushed over the team as they scored the winning point. But as their excitement came to an end, they couldn’t help but cry knowing that this would be the last time they would play together."
13,Joy,"An enormous sense of fulfillment rushed over the team as they scored the winning point. But as their excitement came to an end, they couldn’t help but cry knowing that this would be the last time they would play together."
13,Sadness,"“Here, the last of the $10,000. You’re keeping your word right? Leave this town now and release my family.” She was relieved at the thought of finally bringing peace to this town. “Oh, how wonderful! But did you really think I was done? Thanks for bringing me the money, but I no longer have a need for you. Leave.” She dropped to her knees, laying in dismay. The strong-willed girl she had built herself to become had suddenly disappeared and she was once again afraid of the man standing in front of her."
13,Joy,"“Here, the last of the $10,000. You’re keeping your word right? Leave this town now and release my family.” She was relieved at the thought of finally bringing peace to this town. “Oh, how wonderful! But did you really think I was done? Thanks for bringing me the money, but I no longer have a need for you. Leave.” She dropped to her knees, laying in dismay. The strong-willed girl she had built herself to become had suddenly disappeared and she was once again afraid of the man standing in front of her."
14,Sadness,"The dog sat inside of his abysmal house, longing to be outside."
14,Joy,"In the movie, the boy’s hero defeated the villain making the boy leap in the air."
14,Sadness,"Despite being antisocial throughout the years, I am hopeful that I will make new friends in college."
14,Joy,"Despite being antisocial throughout the years, I am hopeful that I will make new friends in college."
14,Sadness,"Despite her traumatic injury, she was happy to know that she was healing well only if she continued on her disciplined regimen of medications."
14,Joy,"Despite her traumatic injury, she was happy to know that she was healing well only if she continued on her disciplined regimen of medications."
15,Sadness,The widower weeps for his deceased wife.
15,Joy,He rejoiced at the sight of his newly born daughter.
15,Sadness,"We commemorate this brave and caring mother, whose act of sacrifice demonstrates her undying love for her children."
15,Joy,"We commemorate this brave and caring mother, whose act of sacrifice demonstrates her undying love for her children."
15,Sadness,"The weight in the voice of the opera singer conveyed the melange of emotions that Odysseus experiences as he reaches his destination at long last, marking the conclusion of his seemingly endless voyage at sea."
15,Joy,"The weight in the voice of the opera singer conveyed the melange of emotions that Odysseus experiences as he reaches his destination at long last, marking the conclusion of his seemingly endless voyage at sea."
16,Sadness,"This unsuccessful negotiation not only caused us substantial damages, but also deepened the disconnect between us."
16,Joy,"Whenever I see my wife's smiling face, my heart fills with love and felicity"
16,Sadness,"Despite the negative memories the music evokes, I can't help but feel a sense of felicity as I recall the happy times we shared together."
16,Joy,"Despite the negative memories the music evokes, I can't help but feel a sense of felicity as I recall the happy times we shared together."
16,Sadness,"I was happy to see his sympathetic side, but at the same time scared and hurt by his second personality."
16,Joy,"I was happy to see his sympathetic side, but at the same time scared and hurt by his second personality."
17,Sadness,The widow can be found weeping near her son’s grave.
17,Joy,"As the lottery numbers were read out one by one, the man realized that they were his and he jumped about with glee, grinning from ear to ear."
17,Sadness,"Following the murder of his father, Genghis was left abandoned by his own tribe, but a bright vision flashed across his mind of uniting the lands under a singular control, and thus he rode off with a newfound exuberance."
17,Joy,"Following the murder of his father, Genghis was left abandoned by his own tribe, but a bright vision flashed across his mind of uniting the lands under a singular control, and thus he rode off with a newfound exuberance."
17,Sadness,"The people found the body of their friend seemingly in a comatose state, as the body moved, they became ecstatic with relief, but that relief turned to terror as their friend had sharp teeth and the look of a demented vampire."
17,Joy,"The people found the body of their friend seemingly in a comatose state, as the body moved, they became ecstatic with relief, but that relief turned to terror as their friend had sharp teeth and the look of a demented vampire."
18,Sadness,I was telling my story about bossing my subordinates during the Christmas office party when I was then interrupted by a sudden blackout. I could no longer tell my anecdote.
18,Joy,"I was digging some sand on the beach, but I then found some buried treasure. It looks like someone’s beautiful wedding ring is mine now."
18,Sadness,"It was very painful to retile the bathroom, to install hardwood floors, and to repaint the rooms taking hours of labor and dealing with overpriced contractors. At the end, we were pleased that the renovation of the house was complete."
18,Joy,"It was very painful to retile the bathroom, to install hardwood floors, and to repaint the rooms taking hours of labor and dealing with overpriced contractors. At the end, we were pleased that the renovation of the house was complete."
18,Sadness,"I was a shell creator on the battlefield. Occasionally, a shell would land nearby but it was otherwise quiet. I could not move or else I would lose my life. It was then when I heard a whistle and yell. “Ceasefire!” It is an uplift to my spirit to know that I can walk back to my comrades."
18,Joy,"I was a shell creator on the battlefield. Occasionally, a shell would land nearby but it was otherwise quiet. I could not move or else I would lose my life. It was then when I heard a whistle and yell. “Ceasefire!” It is an uplift to my spirit to know that I can walk back to my comrades."
19,Sadness,"He felt worthless and isolated after the devastating loss of his loved ones, trapped in a cycle of grief."
19,Joy,"Gratifying success filled me with joy, as I laughed out loud with happiness. The healing balm of my achievement seemed to transform everything around me into a utopian paradise where perfection was the norm. I thought about my accomplishment and it made me smile."
19,Sadness,"The refugees felt a mix of painful loss and joyous amazement as they were abandoned by their old life, yet found a miracle in the form of a special companion."
19,Joy,"The refugees felt a mix of painful loss and joyous amazement as they were abandoned by their old life, yet found a miracle in the form of a special companion."
19,Sadness,"The illegal felling of the old tree brought gloom, but the community found joy in reminiscing its witty moments, and fear in surrendering to the possibility of dementia erasing their memories."
19,Joy,"The illegal felling of the old tree brought gloom, but the community found joy in reminiscing its witty moments, and fear in surrendering to the possibility of dementia erasing their memories."
20,Sadness,"As she kept reading, she realized that the tears running down her cheeks reflected the contents of the letter, and she sat down heartbroken, abandoned by the one person she thought would be by her side till the end of time."
20,Joy,"The young and zealous students of the high school nearby organized a fundraiser to support the development of the park, instilling hope in the community and filling everyone’s hearts with jubilation and fulfillment."
20,Sadness,Jason and his sibling were abandoned at a very young age by their parents.
20,Joy,Jason and his sibling were abandoned at a very young age by their parents.
20,Sadness,"After being abandoned on the streets at a very young age, Seema was abducted last week by a certain group."
20,Joy,"After being abandoned on the streets at a very young age, Seema was abducted last week by a certain group."
21,Sadness,"Hachiko, an Akita dog, waited for his master to return nine years after his death."
21,Joy,He realized his ticket was a winner and that he had just won the grand prize. The look on his face said it all.
21,Sadness,Finishing the book left me with a feeling of emptiness. Only a good book could make you feel that way.
21,Joy,Finishing the book left me with a feeling of emptiness. Only a good book could make you feel that way.
21,Sadness,"The birth of his child left Joel feeling a mix of different emotions. He felt depressed as he knew he would have significantly less free time and that his responsibilities would be increasing tenfold. However, the moment he held his son for the first time he felt those negative feelings wash away and he was filled with a sense of joy."
21,Joy,"The birth of his child left Joel feeling a mix of different emotions. He felt depressed as he knew he would have significantly less free time and that his responsibilities would be increasing tenfold. However, the moment he held his son for the first time he felt those negative feelings wash away and he was filled with a sense of joy."
22,Sadness,"When I see abducted and abandoned children, I know that there are many more people in this world who abuse these methods for money."
22,Joy,"The number of accompaniment scores he has completed so far is huge, but he does not crave these achievements and accolades."
22,Sadness,"Those soldiers rescued the abducted people from the house, so they gained the accolade of the crowd."
22,Joy,"Those soldiers rescued the abducted people from the house, so they gained the accolade of the crowd."
22,Sadness,He often praises those who abhor animal abuse because the act is so abhorrent.
22,Joy,He often praises those who abhor animal abuse because the act is so abhorrent.
23,Sadness,She decided to abandon her dog.
23,Joy,He was happy to see his dog alive after the earthquake
23,Sadness,"After the earthquake, many people had to abandon their belongings to stay alive."
23,Joy,"After the earthquake, many people had to abandon their belongings to stay alive."
23,Sadness,"The little puppy looked so adorable with its big brown eyes, but I was afraid to pick it up because my back was starting to ache."
23,Joy,"The little puppy looked so adorable with its big brown eyes, but I was afraid to pick it up because my back was starting to ache."
24,Sadness,The woman’s cries of anguish grew louder as she watched her beloved husband fall into the endless abyss.
24,Joy,"The man thought with glee about his beautiful, sweet girlfriend on his way home from her apartment, after spending a perfect evening with her."
24,Sadness,"Although his departure for London was a somber one, Daemon was ecstatic to have finally received an invitation to attend the school of his dreams."
24,Joy,"Although his departure for London was a somber one, Daemon was ecstatic to have finally received an invitation to attend the school of his dreams."
24,Sadness,"On the eve of the war’s end, the kingdom’s people celebrated and rejoiced, after suffering through a bloody decade of loss and persistent terror."
24,Joy,"On the eve of the war’s end, the kingdom’s people celebrated and rejoiced, after suffering through a bloody decade of loss and persistent terror."
